支付方式,Network,币种,开启Affinity,Adaptive 3DS,备注,Network Tokenized？,Adyen,Stripe,Airwallex
Card,Amex,其他,否,否,,,0,100,0
Card,Mastercard Visa JCB,JPY,是,部分开启,,,20,20,60
Apple Pay,,SGD/JPY,是,否,,,20,20,60
Google Pay,非Amex,SGD,是,否,,TRUE,20,20,60
Google Pay,非Amex,SGD,是,部分开启,,False,20,20,60
Card,Mastercard Visa JCB,USD,是,部分开启,,,20,40,40
Apple Pay,,USD/EUR,是,否,,,20,40,40
Google Pay,非Amex,USD/JPY,是,否,,TRUE,20,40,40
Google Pay,非Amex,USD/JPY,是,部分开启,,False,20,40,40
Card,Mastercard Visa JCB,IDR/NZD,是,部分开启,,,20,60,20
Apple Pay,,CAD/SAR,是,否,,,20,60,20
Google Pay,非Amex,GBP/PHP,是,否,,TRUE,20,60,20
Google Pay,非Amex,GBP,是,部分开启,,False,20,60,20
Google Pay,非Amex,PHP,是,部分开启,,False,20,60,20
Card,Mastercard Visa JCB,其他,是,部分开启,,,30,30,40
Apple Pay,,其他,否,否,,,30,40,30
Google Pay,非Amex,其他,是,否,,TRUE,30,40,30
Google Pay,非Amex,其他,是,部分开启,,False,30,40,30
Card,Mastercard Visa JCB,CAD/KRW/EUR/AED,是,部分开启,"Issuer Country Code 为 AU、MX、US、CA的订单，且满足使用 Adpative 3DS 的封控条件，75% 的可能使用 Adaptive 3DS,下同",,40,20,40
Apple Pay,,PLN/HKD/KRW,是,否,USD 50% Affinity 订单给 Stripe 20% Affinity 订单给 Airwallex,,40,20,40
Card,Mastercard Visa JCB,GBP,是,部分开启,,,40,30,30
Apple Pay,,TWD,是,否,,,40,30,30
Google Pay,非Amex,CAD,是,否,,TRUE,40,30,30
Google Pay,非Amex,CAD,是,部分开启,,False,40,30,30
Apple Pay,,AED,是,否,,,40,40,20
Google Pay,非Amex,EUR,是,否,,TRUE,40,40,20
Google Pay,非Amex,EUR,是,部分开启,,False,40,40,20
Card,其他,全部,是,部分开启,,,50,0,50
Card,Amex,USD,否,否,,,50,0,50
Google Pay,Amex,USD,否,否,,TRUE,50,,50
Google Pay,Amex,USD,否,否,,False,50,,50
Card,Mastercard Visa JCB,TRY/MYR/PHP/INR,是,部分开启,,,60,20,20
Google Pay,Amex,其他,否,否,,TRUE,,100,
Google Pay,Amex,其他,否,否,,False,,100,
Card,Amex,JPY、KRW,否,否,,,,,100
Card,Diners,全部,否,否,,,,,100
Google Pay,Amex,JPY、KRW,否,否,,TRUE,,,100
Google Pay,Amex,JPY,否,否,,False,,,100
Google Pay,Amex,KRW,否,否,,False,,,100
